施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
南ゆたか保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
南ゆたか保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
八潮北保育園	2017	0	0	""	5	38	D14	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮北保育園	2017	1	1	""	9	40	D15	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮北保育園	2017	2	2	""	1	40	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮北保育園	2017	3	3	""	0	30	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮北保育園	2017	4	4	""	0	31	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮北保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
八潮西保育園	2017	0	0	""	5	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮西保育園	2017	1	1	""	3	42	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮西保育園	2017	2	2	""	7	41	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮西保育園	2017	3	3	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
八潮西保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
八潮西保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
八潮南保育園	2017	0	0	""	5	40	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮南保育園	2017	1	1	""	6	40	D6	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮南保育園	2017	2	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
八潮南保育園	2017	3	3	""	0	34	D3	""	http://statdb.nstac.go.jp/lod/sac/C13109
八潮南保育園	2017	4	4	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
八潮南保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
